,Unnamed: 0
0,Сухофрукты
1,Каша Быстров
2,"Балык ""Королевский"""
3,"Колбаса с/к ""Еврейская полусухая"""
4,Суп гороховый с копченостями
5,Суп томатный с рисом
6,Говядина Кронидов
7,Свинина Кронидов
8,Рис пропаренный Увелка
9,Крупа гречневая
10,Капеллини Макфа
11,Сухарики ржаные Finn Crisp
12,Козинак арахисовый
13,Козинак подсолнечный
14,Шоколад молочный какао
15,Шоколад молочный миндаль
16,Шоколад ремесленный
17,Сыр Маасдам
18,Сыр Гауда
19,Сыр Чеддер
20,Сухарики ржаные с семечками
21,"Хлебцы льняные ""Тайские"""
22,Хлебцы льняные Морские
23,Паутина
24,Хлебцы с чесноком и луком
25,Говядина сублимрованная
26,Свинина сублимрованная
27,Борщ Московский Галагала
28,Суп-гуляш галагала
29,Суп куриный с картофелем галагала
30,Суп говяжий с картофелем галагала
31,Суп гороховый с копченостями галагала
32,"Суп-харчо ""Острый"""
33,Картофель сушеный
34,Омлет с грибами галагала
35,Омлет с копченостями галагала
36,Кус Кус
